Nombre de usuario,Usuario,Fecha,Texto
Antonio Hernández.,@Antohes08,2020-12-21T19:17:56.000Z,"Donde estará 
@jguaido
 para que salga a responder por los hermanos venezolan@s en Colombia. El inepto de Duque, no los va a reconocer para la vacuna. Se presta para un bloqueó, los hace salir de su país, después, maltratarlos, humillarlos y negarles un derecho como seres humanos"
Diego P.,@dpvesto,2020-12-21T18:41:39.000Z,"Sabiendo que Colombia es un platanal, estoy casi seguro que el cartel de la vacuna ya se está preparando, pero lo que sí se debe mirar es de dónde se surtirán, pues a pesar de los entes de control, no falta el que se quiera lucrar de la necesidad y mal ajeno."
fernando planas,@feplanas_,2020-12-21T18:16:50.000Z,He leido en varios  twitter  q en Colombia la vacuna no se le aplicara a extranjeros pero no e podido verificarlo
Angela Alba,@angelitaalba10,2020-12-21T18:14:44.000Z,Todos muy defensores de los derechos humanos hasta que les preguntan si los migrantes venezonalos se les debe poner la vacuna en Colombia.
Estefanía Useche,@EstefaUseche,2020-12-21T18:11:46.000Z,"Colombia anuncia la compra de 40 millones de vacunas contra el #COVID19 y el #ReinoUnido confirma que la nueva cepa del #coronavirus es mucho más letal. Estos países del primer mundo si son tesis, inventan la vacuna para luego empeorar el virus y tener que sacar nueva vacuna."
Margarita Pava L.,@PavaMargarita,2020-12-21T18:08:01.000Z,"Si la vacuna necesita de -70° para su óptima funcionalidad y se está diciendo que en  Colombia no existe ésta condición o, no se puede garantizar, qué podemos suponer: que la probabilidad que se pierda el dinero invertido es muy alta!....

Y podríamos seguir en el despilfarro!"
jezzer,@jezzerm,2020-12-21T17:14:42.000Z,"Los que critican que Duque diga que no habrá vacuna para los irregulares en colombia, ha de ser que ud va a alimentar primero a un desconocido y después a su hijo. De pana que les sobra un cromosoma."
Andrea,@Amaltea_lav,2020-12-21T17:11:41.000Z,¿Entonces Colombia está obligado a entregarle las vacunas a los venezolanos? Oiga ¿Y la vacuna cubana por la que Venezuela iba a ser el único país inmune al covid qué?
cura con tarantula,@Curantula,2020-12-21T17:01:28.000Z,#PromesaCumplidaEs una utopía mientras no se ejecute una dinámica o negociación efectiva en virtud de la vacuna para toda Colombia #WEsTissot _φ(･_･
johi,@johanacarballo,2020-12-21T16:59:56.000Z,"Hace un rato revisando Linkedin, vi esta publicación: ¿Covid-19: ¿Te pondrás la vacuna?. Y tuvo muchas reacciones manifestando que No, y otros manifestando indecisión. Me llamó la atención ver las reacciones frente a este tema. A Colombia llega en Enero la vacuna, te vacunarias?"
cura con tarantula,@Curantula,2020-12-21T16:59:20.000Z,#PromesaCumplidaEs una utopía mientras no se ejecute una dinámica o negociación efectiva en virtud de la vacuna para toda Colombia #WEsTissot d(￣ ￣)
cura con tarantula,@Curantula,2020-12-21T16:58:05.000Z,#PromesaCumplidaEs una utopía mientras no se ejecute una dinámica o negociación efectiva en virtud de la vacuna para toda Colombia #WEsTissot (( _ _ ))..zzzZZ
cura con tarantula,@Curantula,2020-12-21T16:57:53.000Z,#PromesaCumplidaEs una utopía mientras no se ejecute una dinámica o negociación efectiva en virtud de la vacuna para toda Colombia #WEsTissot m(__)m
cura con tarantula,@Curantula,2020-12-21T16:57:10.000Z,#PromesaCumplidaEs una utopía mientras no se ejecute una dinámica o negociación efectiva en virtud de la vacuna para toda Colombia #WEsTissot し
cura con tarantula,@Curantula,2020-12-21T16:57:00.000Z,#PromesaCumplidaEs una utopía mientras no se ejecute una dinámica o negociación efectiva en virtud de la vacuna para toda Colombia #WEsTissot あ
cura con tarantula,@Curantula,2020-12-21T16:56:07.000Z,#PromesaCumplidaEs una utopía mientras no se ejecute una dinámica o negociación efectiva en virtud de la vacuna para toda Colombia #WEsTissot 。
cura con tarantula,@Curantula,2020-12-21T16:55:36.000Z,#PromesaCumplidaEs una utopía mientras no se ejecute una dinámica o negociación efectiva en virtud de la vacuna para toda Colombia #WEsTissot (´ω`)
cura con tarantula,@Curantula,2020-12-21T16:54:18.000Z,#PromesaCumplidaEs una utopía mientras no se ejecute una dinámica o negociación efectiva en virtud de la vacuna para toda Colombia #WEsTissot (T ^ T)
♡ Angélica L.,@angelik110,2020-12-21T16:52:50.000Z,Estoy de acuerdo que priorizar la vacuna a los Colombianos. Se invita a los venezolanos a legalizar su estancia en Colombia.
cura con tarantula,@Curantula,2020-12-21T16:52:20.000Z,#PromesaCumplidaEs una utopía mientras no se ejecute una dinámica o negociación efectiva en virtud de la vacuna para toda Colombia #WEsTissot (o_o)
Jose Luis Henadnez L,@jose2053409,2020-12-21T16:50:02.000Z,#PromesaCumplidaEs créer en la vacuna.para Colombia y todo cambiará y volveremos a la normalidad.#WEsTissot
cura con tarantula,@Curantula,2020-12-21T16:41:05.000Z,#PromesaCumplidaEs una utopía mientras no se ejecute una dinámica o negociación efectiva en virtud de la vacuna para toda Colombia #WEsTissot ᕦ(ò_óˇ)ᕤ
¡LEVÁNTATE! COLOMBIA,@ALFREDOSAADEV,2020-12-21T16:38:58.000Z,"Excluir a población venezolana en colombia de la vacuna covid19 es inhumano y va en contra de los acuerdos humanitarios firmados, además es como si en la casa todos nos vacunaramos y la empleada del servicio doméstico NO porque ella no es de la familia.

Levántate"
cura con tarantula,@Curantula,2020-12-21T16:35:37.000Z,#PromesaCumplidaEs una utopía mientras no se ejecute una dinámica o negociación efectiva en virtud de la vacuna para toda Colombia #WEsTissot (°▽°)
cura con tarantula,@Curantula,2020-12-21T16:34:30.000Z,#PromesaCumplidaEs una utopía mientras no se ejecute una dinámica o negociación efectiva en virtud de la vacuna para toda Colombia #WEsTissot (⌒▽⌒)
cura con tarantula,@Curantula,2020-12-21T16:33:23.000Z,#PromesaCumplidaEs una utopía mientras no se ejecute una dinámica o negociación efectiva en virtud de la vacuna para toda Colombia #WEsTissot ( ◠‿◠ )
cura con tarantula,@Curantula,2020-12-21T16:32:29.000Z,#PromesaCumplidaEs una utopía mientras no se ejecute una dinámica o negociación efectiva en virtud de la vacuna para toda Colombia #WEsTissot （╹◡╹）
ORIÓN,@Gerardpmendoza7,2020-12-21T16:29:42.000Z,"Iván Duque es una verdadera vergüenza.  Bastante provecho ha sacado de la #AyudaHumanitaria recibidas de la unión europea y de la onu. 
Iván Duque le negará la vacuna a los venezolanos radicados en Colombia."
Salvador Traettino B.,@STraettino,2020-12-21T16:25:22.000Z,El sistema de salud venezolano lleva años en crisis. Es muy probable que muchos migrantes y refugiados venezolanos tengan afecciones no aparentes que los conviertan en población de riesgo ante el covid. ¿Por qué Colombia no considera acceso a la vacuna a los migrantes?
cura con tarantula,@Curantula,2020-12-21T16:14:59.000Z,#PromesaCumplidaEs una utopía mientras no se ejecute una dinámica o negociación efectiva en virtud de la vacuna para toda Colombia #WEsTissot (o^^o)
cura con tarantula,@Curantula,2020-12-21T16:13:42.000Z,#PromesaCumplidaEs una utopía mientras no se ejecute una dinámica o negociación efectiva en virtud de la vacuna para toda Colombia #WEsTissot （＾ω＾）
cura con tarantula,@Curantula,2020-12-21T16:11:04.000Z,#PromesaCumplidaEs una utopía mientras no se ejecute una dinámica o negociación efectiva en virtud de la vacuna para toda Colombia #WEsTissot （＾Ｏ＾☆♪
Nicolás,@Nicopg7,2020-12-21T16:04:46.000Z,"Todos deben tener acceso a la vacuna, incluyendo los venezolanos indocumentados que estén en Colombia, discriminamos es muy bajo, ellos no están en Colombia porque se les da la gana, en realidad, no tienen otra opción"
Juanete,@el_pastu,2020-12-21T16:03:32.000Z,La vacuna en Colombia la van a rebutir con agua. Se acordarán de mí.
cura con tarantula,@Curantula,2020-12-21T16:00:07.000Z,#PromesaCumplidaEs una utopía mientras no se ejecute una dinámica o negociación efectiva en virtud de la vacuna para toda Colombia #WEsTissot (^ ^)
Betty,@Betty9302,2020-12-21T15:59:56.000Z,"Están equivocados señores aquí en colombia empezaron a poner la vacuna del covid19 en juan de acosta hace rato! Por eso es q allá no hay covid! 
 "
Juan Carlos,@DigitalJumper,2020-12-21T15:52:48.000Z,"Al parecer, la vacuna contra el coronavirus llegará primero a Venezuela que a Colombia. De hecho, Venezuela ya adquirió la vacuna rusa, mientras que Colombia ha sido incapaz de gestionar su adquisición.

¿Nos tocará ir a Venezuela a vacunarnos?

#LasNuevasMedidasSon"
Alejandro,@HD014,2020-12-21T15:45:08.000Z,"En Estados Unidos la vacuna hasta el momento será gratis y para todo los habitantes del país, incluso los indocumentados. No entiendo por qué Colombia una vez más decide humillarnos negándole la vacuna a los que no tienen papeles."
Jesucristo Carrefour,@CristoAtado,2020-12-21T15:21:30.000Z,"Próxima pelea en Twitter: «Pues si tanto le duele que vacunen en Colombia a los venezolanos, cédale su vacuna a alguno de ellos, hpta»"
Diana Mora,@DianaMi86673794,2020-12-21T15:11:59.000Z,"Mamerta fascista: La vacuna en Colombia, solo debe ser para quienes, se cuidaron; fortaleciendo en su sistema inmunológico, haciendo ejercicio físico y cumpliendo con las normas de bioseguridad, el resto que coma mierda!"
Diana Carolina,@dianaquijano21,2020-12-21T15:03:46.000Z,"Habrá un nuevo cartel en Colombia? 

Quien sabe... amanecerá y veremos. 

(Cártel Vacuna COVID-19)."
"Javier Ruiz Agudelo
☭",,2020-12-21T14:55:51.000Z,Jorge Robledo quiere que la vacuna sea tibiecita para Colombia.
Dougie Jones,@EarlWagnerYo,2020-12-21T14:54:57.000Z,"Colombia, un pais con guerrilla y narcos y aun asi tiene las condiciones apropiadas para pactar la vacuna con Pfizer mientras que Argentina no, que berreta todo"
Jack Baltimore,@JackDeLaConcha,2020-12-21T14:51:05.000Z,"No ha llegado la vacuna y ya:

1. Celebran la vacunación de febrero.
2. Venden la vacuna para el segundo semestre del 2021.
3. Duque dice que no quiere prioridad. 
4. No vacunan venezolanos. 

Colombia es el país eterno del ""montar antes de ensillar"""
Jack Baltimore,@JackDeLaConcha,2020-12-21T14:45:12.000Z,¿Guaidó se vacuna en Venezuela ó en Colombia?
Douglas Fugazi,@douglasfugazi,2020-12-21T14:43:45.000Z,"Compran las vacunas con dineros de nuestros impuestos, y ahora están considerando qué la vacuna se pueds pagar si quiere tener prioridad.

Colombia 
 el país más corrupto del mundo, sin vergüenzas."
Humano,@fredy_rivera,2020-12-21T14:42:13.000Z,Supongo que todos los uribistas tendrán para comprarla vacuna antes de que se la apliquen gratis a los mamertos ¿no? #covid19 #Colombia
MARTHA MORENO,@margi2010,2020-12-21T14:41:31.000Z,COLOMBIA NECESITA LA VACUNA YAAAAAAAAA
Alberto Cardona,@jesalcav,2020-12-21T14:38:51.000Z,"Que lástima! Los periodistas de los grandes medios que han despreciado la vacuna rusa, la verán venir a Colombia mezclada con la de Astra Zéneca. Y por qué nunca se habla de la vacuna cubana?
La salud depende en nuestro pais de las ideologias y lo económico"
Junior tu papá,@daza_eduardo,2020-12-21T14:07:36.000Z,"Son 40 millones  de vacunas para colombia pero hay que tener en cuenþa que son dos dosis que se debe aplicar, quiere decir que solo 20 millones de personas lograran  tener la vacuna y el resto del pais para cuando?"
Linulera,@linulera,2020-12-21T14:05:04.000Z,"El que tenga plata se vaya a Miami a ponerse la vacuna, así como van a mercar y a comprar los regalos de Navidad, pero no con las pocas dosis que hay en Colombia "
Juan Jose Rodriguez,@JuanJos57440071,2020-12-21T13:09:56.000Z,"En Blue radio, q es pésima emisora( comunista), un periodista comentaba q Duque se equivocaba al no contemplar a los Venezolanos q entran a Colombia, con la VACUNA!!!, la verdad se necesita ser idiota para decir eso!!! Primero los Colombianos, segundo y tercero los Colombianos!!"
ALFORD,@ALFORDMEJIA,2020-12-21T13:07:22.000Z,"Cuando se habla de una vacuna para aplicarla en un país, ejemplo Colombia, pienso que debe prevalecer los derechos de los ciudadanos legítimos de cada país. Esto lo digo por tema que tan preocupante que vive colombia con sus fronteras sin control."
Arroba dobleu delbar,@wdelbar,2020-12-21T13:07:21.000Z,¿Entonces la vacuna en Colombia por poco y empieza a cotizar en la bolsa?
guillermo morales,@guiller97108378,2020-12-21T13:02:07.000Z,"que en colombia la vacuna llegara el 2023, es cierto, mientras tanto los senadores y politicos estan cuadrando como es lo de las coimas y comisiones, cuantas recibiran para sus campañas politicas...ASI ES TODO EN COLOMBIA..si estae xpuesto a contagio, SALVESE SOLITO....ore a Dios"
Patricia Pinto Bermudez,@pattyromero11,2020-12-21T13:01:59.000Z,"Muchos países de la Region,cuando llegue la Vacuna,piensan terminar de inmunizarse en 8 a 9 meses
Así,que No crean que en un día nos vacunamos
Argentina,Brasil,Colombia están tratando con laboratorios que están en Fase 3
Las únicas autorizadas.son las 
Pfizer,Moderna"
Gabriela Rodriguez,@Abogada1949,2020-12-21T12:53:11.000Z,"ALERTA ARGENTINOS!!.NO TENEMOS VACUNA Y ESTAMOS DESPROTEGIDOS. CHile, Colombia  México, Brasil y Uruguay . Chile, compró  la vacuna 4 veces su población. Eso es responsabilidad y gestión. Nosotros tenemos un gobierno de sainete, lamentable. La tilingueria y autoritarismo Juntos."
José Ramiro Bertieri Quintero,@rbertieri,2020-12-21T12:48:25.000Z,"Según 
@MinSaludCol
 en nota con 
@rcnradio
, Colombia gastará USD$300 millones en vacuna; se compraron 10 millones de dosis, promedio USD$30/dosis
Se conoció que Bélgica pagó 279M  por 33M de vacunas, allá les costó menos de 1/3 que acá ¿porqué? 
@jciragorri
 @KeyCabana
 @YolandaRuizCe"
Moma1577,@Moma15771,2020-12-21T12:45:57.000Z,#promesacumplidaes que se. Cumpla el. Programa de Vacuna ion; y que ni pase lo de siempre en colombia
William Celis C,@wceliscc,2020-12-21T12:43:44.000Z,"#promesacumplidaes es qué 
@MJDuzan
 se rectifique cuando dijo que el gbno de 
@IvanDuque
 no estaba haciendo nada por traer la vacuna y que en Colombia no la veríamos en febrero de 2020"
SoloAngel,@angel61149,2020-12-21T12:40:42.000Z,"Colombia es un país tan corrupto, que genera desconfianza la vacuna del covid19. Quien asegura que no le estarán aplicando otra cosa, como vitamina c o algún analgésico?"
￦@/t€ฯ DU©U@R@,￦@/t€ฯ DU©U@R@,2020-12-21T12:25:01.000Z,"La vacuna llega en febrero a Colombia, ya cuando el virus ha evolucionado!!! "
The Guajinais,@LeoSarcasmo,2020-12-21T12:23:08.000Z,Solo paso a decirles que esa vacuna no va a llegar por acá antes del mundial Colombia 2042.
Juan,@fredrymayor,2020-12-21T10:47:35.000Z,"#CovidNavidad Actividad Económica Sin Restricciones, la gente es consiente de los riesgos y consecuencias que asume, por más que hablen de la Vacuna a Colombia llegará en Un año si la corrupción lo permite.
INMUNIDAD DE REBAÑO Parece ser lo que salvará este país."
LEONARDO CASIQUE CON,@gelfloral,2020-12-21T10:44:10.000Z,"#PromesaCumplidaEs  Gran alivio para toda Colombia, las noticias de vacuna para todos #WEsTissot"
LEONARDO CASIQUE CON,@gelfloral,2020-12-21T10:39:58.000Z,"#WEsTissot Gran alivio para toda Colombia, las noticias de vacuna para todos #PromesaCumplidaEs"
ario Chave,@mariochavezd4,2020-12-21T03:26:57.000Z,"Segun las etapas de vacunación en Colombia programadas con los cálculos precisos serían en 2021, creo que conociendo los cálculos del gobierno no recibo esa vacuna sino en 2022"
Mario Rodriguez Q.,@Mariorq14,2020-12-21T02:18:12.000Z,"Chile, Colombia y México, países que ya nos adelantaron demasiado con el tema de la vacuna"
"ɟɐʇsnƃ Sputnik, Lector de Tabaquería",@hbecas,2020-12-21T02:05:57.000Z,"El asunto de la  vacuna es una guerra contra el reloj. La mortalidad de la 2ds ola en Europa se debe a la no disponibilidad de personal médico, ya no a la ausencia de UCIs.

La 2da ola que ya está en Colombia, nos cogerá con los calzones abajo sino se vacuna al personal médico ya"
Eduin Fernando,@Eduinfer,2020-12-21T01:52:09.000Z,"Con base en la información entregada sobre la vacuna el día de ayer, y viendo que Colombia está preparando un despliegue organizado por medio de fases, me genera el siguiente interrogante: ¿Cómo quieres tú que te quiera cariñito, si de tu amor no me das ni un poquito?"
Frikitona,@magna_muerte,2020-12-21T01:26:09.000Z,"La verdad eso de la vacuna en Colombia esta grave, solo con el hecho de mantener el medicamento, nuestros climas son muy hostiles."
Emiro Alvarez,@eaav2711,2020-12-21T01:11:07.000Z,"Vacunas con incognitas(secretísmo) nos dice Noticias Uno ahora mismo  sobre las vacunas que está negociando el gobierno de Colombia. ¿Se espera transparencia en este gobierno ? No solo es el problema de la coima, tan normal en Colombia, es la esencia o efectividad de la vacuna."
CHIMBITA,@Jeffpinzono,2020-12-21T00:47:57.000Z,"¿Cómo así que ya existe vacuna y el mundo está desplegando sus planes de cubrimiento para toda la población? 

Vivo debajo de una piedra mk. Igual a Colombia va a llegar justo antes de las elecciones presidenciales de 2022."
Miguel Angel Suarez,@MigaDC,2020-12-21T00:40:42.000Z,"Ya twittearon que en la Colombia humana ya tendríamos la cepa nueva y la vacuna de la misma, las totalmente gratis y la primera solo para las oligarquías mafiosas y la segunda para todos los seguidores de la Paz."
SoyPeter,@PeterStayWay,2020-12-21T00:37:55.000Z,En colombia toca esperar que pase el cartel de la vacunación y después si a ver si de pronto llega la vacuna. #EnElGobiernoDeElBacan
"𝐥𝐨𝐫𝐞𝐧𝐚
semi ia bc",@kissyIt91,2020-12-21T00:36:56.000Z,"¿ustedes creen que para colombia (o cualquier país) la vacuna debería de ser obligatoria?siii
66,7 %
nooo
33,3 %
3 votos
·
Resultados finales"
⑯ ʌsıul,@Sanluys,2020-12-21T00:25:51.000Z,"En Colombia es problema antes, durante y después, y la vacuna para COVID19 no será la excepción."
Luis Miguel Gómez,@luismigomezh,2020-12-21T00:24:58.000Z,"Una vacuna incierta, Europa estrenado una cepa más virulenta, los contagios en Colombia acelerados y Bogotá entrando nuevamente a medidas de aislamiento. ¡Comienza la segunda temporada! #Covid_19 #FelizDomingoATodos"
Maria Castro.,@mariacastro1111,2020-12-21T00:23:29.000Z,"Y en Colombia como no saben hacer una fila, cuando se esté haciendo la correspondiente para la vacuna, habrá rebrote ante que la vacune surta efecto."
*March,@medicenmarch,2020-12-21T00:08:19.000Z,Estoy mamada de ver los memes donde dicen que en Colombia creen en cualquier cosa pero en la vacuna no. Por qué será que la gente no se informa UN POQUITO no más pa entender por qué hay desconfianza 
John Agudelo,@johanan6214,2020-12-21T00:04:24.000Z,"Los mamertos no quieren la vacuna q compro Duque, por q tiene efectos secundarios, quita la marihuana, la coca, pepas, y vuelve a la gente inteligente ya no vuelven a tirar piedra se vuelven amigos de la fuerza pública y los q trabajan. Aman a Colombia."
Nathalia Tarazona,@NathyTarazona,2020-12-20T22:07:48.000Z,"Nueva cepa del Covid, rebrote en Colombia, no ha llegado ni la primera vacuna, y nada que nos guardamos."
apaalimitada@hotmail.com,apaalimitada@hotmail.com,2020-12-20T22:06:52.000Z,"Cuántos Millones de Dólares perdió Colombia con la Compra de la Vacuna contra el Coronavirus, Virus que ya no existe, por el hecho cierto y comprobado de que éste Mutó a un Virus más fuerte y totalmente diferente al anterior, para el que hoy en el Mundo no existe ninguna Vacuna ?"
herego,@hermanredondog,2020-12-20T21:38:42.000Z,"Increíble!
En Colombia nos llegará primero el Glifosato que la vacuna!"
"Bloqueado
⁴",@BL0QUEADINHO,2020-12-20T21:11:03.000Z,Primero llega la vacuna Generica de la COVID a colombia
Juan Diego Soler,@juandiegosoler,2020-12-20T20:32:14.000Z,"Se descubre la vacuna. Fantástico.
Se negocia conseguirla. Muy bien. 
Discúlpenme si guardo los aplausos hasta que suficientes personas hayan sido vacunadas (y no estoy hablando específicamente de Colombia)."
Alessandro Marchetti,@alemarchetti91,2020-12-20T20:21:16.000Z,"Colombia ya aseguró sus vacunas con farmacéuticas occidentales, pero si estuviéramos bajo otro tipo de régimen y decidieran comprar la vacuna rusa y la china, ¿usted se la pondría?Sí
19,4 %
No
80,6 %
93 votos
·
Resultados finales"
Marco Axelrod,@Marcos_MH7,2020-12-20T20:06:38.000Z,"Colombia que espera para cerrar a las personas de Europa y África, la gente tiene la culpa pero también los malparidos gobernantes por no hacer las cosas a tiempo. Llegará primero la nueva cepa que la vacuna y estaremos el doble de jodidos. 
@IvanDuque"
editorey,@editorey,2020-12-20T19:48:49.000Z,"Inglaterra el primer pais en iniciar vacunacion masiva en el mundo, acaba de aislarse.
Como sera de peligrosa la nueva mutacion del Covid19 encontrada en Londres que el resto de Europa decide aislar a  todo el reino Unido
Y en Colombia nos piden agradecer por una vacuna incierta"
Samuel Guzmán,@SamuelE41014861,2020-12-20T19:33:49.000Z,"LA ÚNICA VACUNA SEGURA QUE TIENE COLOMBIA ES EL IVA. Y ESTÁN EN LA TAREA DE SUBIRLO LOS HAMPONES, MAFIOSOS Y TODO CLASE DE DELINCUENTES QUE ESTÁN EN EL PODER."
ANDRES P,@apelaezc,2020-12-20T19:18:26.000Z,"Ya sabemos que cuando llegue la vacuna a Colombia, los primeros en la fila van a ser los que dijeron que era solo una 'gripita', cierto?
@fdbedout"
Andrea Vergara,@AndreVergaraPSB,2020-12-20T18:48:15.000Z,No coman cuenta que la vacuna en Colombia no va a llegar si no hasta mediados del próximo año!!! Nosotros acá tendremos vacuna en enero - febrero si acaso...
Ramza Beoulve,@ramzadkm,2020-12-20T18:32:23.000Z,"¿Se imaginan que en serio los de Pfizer le dieran la fórmula de la vacuna a Colombia?

Jaja, como si aquí tuviéramos la tecnología para desarrollar cosas así."
eliza-oscar,@ElizaOscar,2020-12-20T17:59:43.000Z,"Cada vacuna aplicada en Colombia es una bofetada para los mamertos e incrédulos que critican al gobierno Duque y la ley 100.Les arderá y  rascará el follelle,pero serán los primeros en exigir que los vacunen.Malparidos!!!"
