Nombre de usuario,Usuario,Fecha,Texto
Danesis,@DanesisArce,2021-03-04T23:59:24.000Z,"La mejor vacuna contra el uribismo 
@CeDemocratico
 es la 
@JEP_Colombia"
Paula Ayala,@PaulaaAyala10,2021-03-04T23:14:52.000Z,Hoy me vacunaron contra el COVID. No dejo de pensar y desear con el alma que todos en Colombia puedan tener rápido y fácil acceso a la vacuna 
Alejandra Jiménez,@alejandrajc10,2021-03-04T23:11:39.000Z,"Yo sí estoy de acuerdo con el señor de la oficina de comunicaciones, los hechos superan la demagogia. Los hechos: Colombia aplica menos de 20 mil vacunas al día, en un país vecino hay una nueva variante del virus matando gente a ritmo record y sin vacuna no estamos protegidos."
Julián Romero,@julianandres298,2021-03-04T22:59:30.000Z,"Mis parcerxs docentes en Argentina ya están recibiendo la vacuna contra el Covid-19. Lo que me aumenta la bronca con Iván Duque, porque aquí en Colombia los docentes estamos muy lejos de conocer la vacuna... Nos envían a las aulas sin garantías ni respeto por nuestra vida"
FabianM,@MattoneFabian,2021-03-04T22:32:32.000Z,Che me jodes? Despues del choreo o Vacuna-Gate a Gines lo premian con una embajada en Colombia... Beto bigotes de algodón: Usted no aprende verdad?
𝚅𝚊𝚕,@valedevries,2021-03-04T22:24:02.000Z,"En Colombia es más fácil que crean que la Virgen se apareció en una arepa, a que crean en la vacuna."
Organización para la Defensa Del Paciente - DDHH,@odpdh,2021-03-04T21:52:24.000Z,"¿Usted tiene claridad sobre el proceso de Vacunación informado por 
@MinSaludCol
 en Colombia y sabe cuándo accederá a la aplicación de la vacuna contra #COVID19?Si lo tengo claro
12,8 %
No lo tengo claro
47,7 %
Hace falta pedagogía
26,7 %
Hace falta difusión
12,8 %
86 votos
·
Resultados finales"
juan fernando,@juanfer3012020,2021-03-04T21:21:25.000Z,"Que Cuba ya tenga su propia vacuna contra COVID nos demuestra que ese famoso dicho “castrochavismo” es una expresión de idiotas arrodillados que viven y se enriquecen del subdesarrollo en Colombia 
@tobonsanin
 @petrogustavo
 @IvanDuque
 @diegomatteus
 @Margaritarosadf
 @Matador000"
Luis Camargo,@camargosky,2021-03-04T20:58:30.000Z,"Así como hubo ""Odebrecht-gate"" en toda Latinoamérica, igualmente habrá ""vacuna-gate"". Y Colombia no será la excepción.
Estemos listos para otra cochinada del uribismo."
Crittiko,@Crittiko,2021-03-04T19:53:25.000Z,"A todas estas, ya vacuna de AstraZeneca están comenzando a utilizarla en mayores de 60 años. Recuerdo hace pocos días un opinador criticando la intención de hacerlo en Colombia que porque nadie más en el mundo lo había aprobado. Obvio, no va a reconocer error ni a corregir."
Esteban Carlos Mejía,@EstebanCarlosM,2021-03-04T16:42:12.000Z,"""Pandemia ha afianzado brechas de inequidad entre personas y también ha generado un debate: ¿deben o pueden los estratos (sistema creado en Colombia para definir el pago de servicios públicos o el valor de los inmuebles) más altos pagar por el costo de la vacuna?"": 
@adrihcooper"
Connie,@ConnieAlfonso5,2021-03-04T16:06:02.000Z,"#Colombia
@ZulmaCucunuba
 @claudiavaca5
 @marial_lina
 ¡Espero que a todas las trabajadoras de la salud se les haya priorizado en la lista para recibir la vacuna contra el #Covid19!..es la única forma de agradecerles su importante labor en la gestión de esta pandemia!"
OSKAR,@W_CHVillalba,2021-03-04T15:33:34.000Z,Si Colombia produjera una vacuna ud se la pondría?
Os Gordon,@osgordonarte,2021-03-04T15:27:42.000Z,Dizque el chip de Bill Gates ya lo piratearon en Colombia y lo están vendiendo en el centro sin necesidad de vacuna.
Eduardo diaz,@americanofiel1,2021-03-04T14:15:20.000Z,¿Que condiciones coloco pfizer para vender la vacuna del covid 19 a COLOMBIA?
jaime pelaez,@jaimepelaezv,2021-03-04T13:55:21.000Z,Acá en colombia lo malo no sólo pasa por el centro demoníaco Dino también por sahagun ( políticos corruptos  y ahora dizque lo de la enfermera por la vacuna )   Ah ?
Julián Toro,@jjtoroc,2021-03-04T12:30:11.000Z,Soñé que Colombia sacaba una vacuna que no protegía del covid pero si de la mamertitis
Pazcificosta,@fidel_urrego,2021-03-04T12:18:35.000Z,"Si Colombia tiene 1.122 
@MinSaludCol
 está aplicando 11,38 vacunas diarias por municipio .
La delincuencia les puede enseñar como se vacuna rapidito o preguntele a 
@MinHacienda
."
Mario Montero,@mmonteroq,2021-03-04T11:28:25.000Z,"¡Preocupante! Antonio Pratto, integrante del Comando Vacuna. Ha dicho que desde junio se está negociando la compra de 5 millones de vacunas de Johnson & Johnson”, y le extraña que aún no se haya concretado, mientras Colombia ya compró 9 millones."
Andrés Díaz,@Andres_Diaz_D,2021-03-04T11:23:06.000Z,"Cuba ha desarrollado varias vacunas para el Covid-19, una vacuna entra en fase 3 y otra en fase 2. 

Colombia por el contrario nada que llega ni a 100 mil vacunados y eso q ya llegó el primer cargamento que nos tocó medingar por COVAX."
John Robkes,@JohnRobkes,2021-03-04T10:26:22.000Z,Colombianos ya salió hablar el analfabetos del ministerio de salud para dar luz verde para que los ricos compren vacuna yvendan en colombia el mitómano de duque y su incapaz de matasanos que tiene no van a cumplir con el veneno que quieren que te pongas no es raro que levanten td
