Nombre de usuario,Usuario,Fecha,Texto
JOTA,@jacobouzuluaga,2020-09-15T03:38:45.000Z,Nea si le moleste que el Invima autorizará a Johnson&Johnson a hacer pruebas para la vacuna del covid en Colombia. Usted no se presente y ya. Se acostumbraron a buscarle el pleito a todo.
Julián Gómez ✪,@Nebiros96,2020-09-15T03:24:05.000Z,"¿Aplicarían como voluntarios para la vacuna de Johnson & Johnson en Colombia?

Yo sí."
Santiago Posada,@santiagop0193,2020-09-15T03:22:07.000Z,"Dizque no ha llegado la prueba de la vacuna a Colombia y ya 
@IvanDuque
 y 
@QuinteroCalle
 tienen efectos secundarios JAJAJAJAJAJAJAJAJAJAJAJAJAJA... por favor, respeten a nuestros gobernantes."
Chicho Arias,@chichoariasr,2020-09-15T02:44:52.000Z,En Colombia no descubriremos la vacuna contra el Covid pero todos los días descubrimos “Una nueva modalidad de robo”. Unas por otras.
Androw Castro,@AndrowPerez,2020-09-15T02:39:21.000Z,"Johnson & Johnson empieza pruebas en Colombia, la extrema izquierda la rechaza pero aplaudían cuando Rusia sin prueba alguna anunciaba su ""vacuna""... La incoherencia de los extremistas es su mayor característica"
 Victorino Moya,@moyavictorino,2020-09-15T01:36:25.000Z,Colombia autorizó primero la prueba de la vacuna de los gringos que la prueba de los respiradores que estaban haciendo los paisas.
,@PauMojica,2020-09-15T01:32:46.000Z,"Viendo noticias no entiendo para que quieren probar la vacuna contra el covid en Colombia, si con movilizaciones todos los días, paseos y fiestas todos los fines de semana y madrugones en los centros de las ciudades capitales antes disminuyen exponencialmente los casoooss!"
Ricardo Romo I,@Ricardo88647113,2020-09-15T01:22:12.000Z,"/Colombia 
 destinará 900.000 millones para la vacuna covid _19. Congresistas de la bancada de Gobierno serán los encargados de distribuir los recursos entre las E. P. S.  Con experiencia en manejo de armas"
ensalada,@Juansvrs2103,2020-09-15T01:06:10.000Z,El 21 empiezan con las pruebas de la vacuna acá en Colombia uff 
Hector Dario Valenci,@JUANCHOMILAS,2020-09-15T01:05:34.000Z,"Reclutan voluntarios para ensayos de la vacuna contra covid 19, los países desarrollados no se prestaron para esos ensayos, Colombia ofreció a sus pobres,"
Ed Urrego,@EdUrrego,2020-09-15T00:53:57.000Z,Quien iba a pensar que la vacuna para el covid en Colombia era quemar cais.
 Victorino Moya,@moyavictorino,2020-09-15T00:01:02.000Z,Obviamente Colombia únicamente va a optar por la vacuna gringa.
Joselito.,@PapitaChorriada,2020-09-14T18:03:22.000Z,El próximo Lunes comienza el reclutamiento de personas que aspiren al ensayo de la vacuna contra el #Covid19 en Colombia.
"Colombia.com (desde
)",@ColombiacomTW,2020-09-14T17:34:50.000Z,"Invima autorizó reclutamiento en Colombia para quienes quieran ser voluntarios en el estudio de la vacuna contra la COVID-19  de Johnson & Jonhson.

¿Usted sería voluntario para la vacuna de este laboratorio?SI
66,7 %
NO
33,3 %
6 votos
·
Resultados finales"
Kike Guerra,@BurroCero,2020-09-14T10:25:45.000Z,"Amigos, para un módulo que estamos dando en la Universidad donde doy clases ¿me ayudarían a contestar esta encuesta? 
¿DE LLEGAR ALGUNA VACUNA A COLOMBIA HOY SE VACUNARÍA YA?SI
62,5 %
NO
37,5 %
32 votos
·
Resultados finales"
ĿЦZ ÐЄ ĿЦИÂ,@AlondraReal09,2020-09-13T21:48:30.000Z,"#Maduro #Cadena

Será Médico ahora? 

Ve TV de Colombia. Pero a Directv los obligó a sacar canales Colombianos y nosotros ni pendiente. 

#Secuestrados hasta que aparezca la mocho e' vacuna. O sea... Cdsm

Los vuelos de ellos si salen, pero el resto, que nos jodamos."
Don Gato!!!,@BetoSFernandez,2020-09-13T04:45:46.000Z,"Que el mundo entero sepa que en Colombia tenemos la vacuna contra el Covid y se aplica en dos dosis.

Bolillo y Bala..."
Chive,@Chive38782000,2020-09-12T23:39:12.000Z,"Gobierno peruano ya debio firmar contrato para provision de vacuna rusa Sputnik V tal como lo hacen Mexico, Brasil, Argentina, Colombia.
Es calificada como una de las mejores del mundo, tiene como base adenovirus humano y no de ningun animal.
No discriminemos por ideologia"
Diana Lizeth Palma,@dianalizethp,2020-09-12T18:47:17.000Z,Y entonces el Covid-19 no lo venció una vacuna si no la impunidad y la violencia en Colombia?
John,@johnjsolano,2020-09-12T18:38:40.000Z,"Estar con vida en Colombia es un milagro. Aparte del tapabocas, gel y alcohol, toca incorporar un chaleco antibalas y un casco. ¿Cuando llegará la vacuna para parar tanta violencia?"
López Quintero,@LpezQuintero1,2020-09-12T16:27:21.000Z,"#VenceremosElBloqueoPetrolero Colombia y Cuba, protagonistas en ensayos de vacuna rusa contra Covid #TROPA 
#ModoActivo 
@NicolasMaduro
 @LpezQuintero1
 @Maestra_Tuitera @ATuiteros_ 
@Mamba_4F
 @tuiterapsuv
 @yhoscarly
 @LucenaVilma
 @liliamm_27
 @daily_noriega
 @Negda10
 @katerine1953"
jorge quintero,@jorgeq81,2020-09-12T15:51:27.000Z,¿ en Colombia cuando llega la vacuna para la pandemia del coronatiros?
ROBERTO ARCILA,@ROBERTOAZZURRI,2020-09-12T15:06:49.000Z,La mayor pandemia de Colombia es el odió entre los ciudadanos por pensar diferente.... Y para esa vaina no haya vacuna!!!!!
Carolina,@carolinarh598,2020-09-12T06:03:23.000Z,Cada que veo todo lo que pasa en Colombia (no solo con los tombos hptas) de verdad pienso que la única vacuna que me quiero poner es la eutanasia.
Oscar Caceres,@Oscacego,2020-09-11T23:27:18.000Z,El gas lacrimogeno cura el Covid. Colombia encontró la vacuna!
𝑳𝒐𝒓𝒆𝒏𝒂 𝑪𝒖𝒆𝒔𝒕𝒂,@LoreCuesta,2020-09-11T22:42:30.000Z,"Según los reportes, cuando salga la  vacuna, en Colombia ya no habrán casos activos 
."
Ramiro Alviz De Lisa,@RALVIZDELISA,2020-09-11T16:10:58.000Z,"El verdadero COVID de Colombia es la violencia. Este brutal virus muta y se replica permanentemente. Nos vendieron una “vacuna” en 2016 y trajo muchos efectos adversos y aún no sale del mercado y lo peor , todavía no hay una nueva en desarrollo."
MirandaL,@Miranda81911095,2020-09-11T11:25:24.000Z,"#ValerianaPara hoy podemos decir que ya superamos el covid, todos los países buscando una vacuna, y aquí en Colombia le demostramos al mundo, que la vacuna para el covid es la furia. 
 "
maría del c,@apieceoftrashim,2020-09-11T02:23:10.000Z,"si me pagaran por recibir mensajes de mis amiguis diciendo ""vente pa mtr y te quedas en mi casa"" jodaa, le compro la vacuna del coronavirus a toda colombia pero bueno, no me pagan :("
Chacón,@tatichacon,2020-09-11T01:49:45.000Z,"Oigan qué pasó con el COVID ? Todavía existe ? Por acá en Colombia estamos viviendo otro tipo de pandemia, la de la violencia... y pa esa la vacuna está embolatada"
Y.U.Q?,@yo_ud_quien,2020-09-10T23:38:48.000Z,"¿Para qué vacuna contra #COVID19 ? Si en Colombia mata más personas el NARCOestado, 
@PoliciaColombia
 y 
@COL_EJERCITO
 #PoliciasAsesinos #MasacreEnBogota"
,@sebsgm0,2020-09-10T19:50:50.000Z,"Mientras que la vacuna de AstraZeneca tendrá un valor de 4-5 dólares, la de Moderna que es la más probable llegue a Colombia, tendrá un valor entre 40-50 dólares, como dato."
Jesús Ramos Correa,@jeraco22,2020-09-10T18:15:13.000Z,Gracias a los abusos policiales desapareció el Covid-19 en Colombia. Teníamos la vacuna  y no sabíamos #PoliciasAsesinos
Isidro Ruiz Estrada,@isidrorues,2020-09-10T16:19:46.000Z,"Me estoy enterando que vacuna contra Covid-19  que se someterá a pruebas en Colombia puede causar parálisis parecida a mielitis, y que más efectiva en este momento es vacuna rusa. Pero Gobierno no creo que acepte vacuna rusa, porque seguro nos inoculan socialismo por allí. Plop"
Maribel Osorio,@MaribelOsorio3,2020-09-10T15:08:36.000Z,"Uno se despierta y lee: casos de covid , cartel de la vacuna , muertes , amenazas,  toman fuerzas el  narcotrafico, amenazas de  paramilitares, guerrilla,  disturbios,  abuso de poder, corrupción, no hay ppto para salud , educación , abuso de impuestos. Colombia colapsada."
buho ™,@buho_media,2020-09-10T13:31:41.000Z,"#Alertasbuho #COVID_19 10/09

1. 
@AeroCivilCol
 alista itinerarios de vuelos internacionales
 .
@elespectador
 

2. Laboratorios del país proponen participar en la última fase de producción de la vacuna contra COVID-19 .
@ELTIEMPO
 

3. 7.343 nuevos casos en Colombia .
@MinSaludCol"
Robinson Castillo Charris,@ROBINCASTILLO,2020-09-10T13:24:05.000Z,Se reactivó la pandemia del odio en Colombia y lo peor: no hay vacuna.
Oscar Garcia,@OscarCantautor,2020-09-10T05:19:17.000Z,"En Colombia de la pandemia se saldrá con vacunas y ciencia, pero ¿cuál es la vacuna contra la violencia y los atropellos? Como dijo un poeta, alguna vez, perdonen la tristeza."
Diego Fernando Valencia,@ValenciaNDiegoF,2020-09-10T04:06:31.000Z,"A mi no me preocupa que resurja la protesta social, esta no es ajena en Colombia desde el 21N, lo que me preocupa es la situación en la que rebrota. En plena pandemia, con un virus altamente transmisible, sin control, sin una vacuna, un virus que no es previsible y puede matar."
Andersson Silva,@achiribola2,2020-09-10T03:48:27.000Z,Mañana sale la vacuna en Colombia!
Rosario Tijeras®,@tatanjm,2020-09-09T19:24:57.000Z,"Mínimo hoy 
@IvanDuque
 sale diciendo que hoy no se reportaron casos de Covid o que ya tiene fecha para que llegue la vacuna a Colombia para poder pasar de página lo de la 
@PoliciaColombia"
Sergio Giraldo,@sergioagiraldo,2020-09-09T18:15:05.000Z,Cuando llegue la vacuna a Colombia estoy mas que seguro que hablaremos del cartel del covid-19 y como se robaron los recursos... Ojala me equivoque pero con tantos antecedentes.
Jorge Buitrago,@JorgeBuitragoT,2020-09-09T14:42:09.000Z,"La Policía en Colombia está llena de agentes sin formación ni ética. Tipos que, ante ciudadanos indefensos son unos ""valientes"" pero frente a delincuentes se hacen los ciegos o pasan a recoger su vacuna y cuidarlos sus negocios. 
#PoliciaCriminal"
@pantaleon,@pantaleon,2020-09-09T13:28:57.000Z,"Moriremos porque la vacuna real, es la rusa. La de oxford y los gringos se cayó. Con este abuso policial, tendremos muerte segura. Colombia, ha naturalizado la muerte, parece que nada le conmueve."
Rodrigo Caliz Zuluaga,@CalizRodrigo,2020-09-09T12:12:49.000Z,"DUQUE: ""VACUNA SE DEMORA"", PERO PARA COLOMBIA, QUE NO QUIERE APORTAR A ""VACA"" PARA DESARROLLO Y PRODUCCION Y LE JUEGA A QUE A JULIO/21 POR INMUNIZACION NATURAL MUCHA MENOS POBLACION LA NECESITE Y ASÍ GASTAR MENOS. OTRA VEZ CARRASQUILLA MANEJA LA SALUD; Y MIENTRAS TANTO SEGUIMOS.."
Chelo,@lugajitri,2020-09-09T11:48:35.000Z,"La mentira en q nos tienen en este país los políticos y los noticieros, la vacuna del covid en Colombia fue salir a la calle #MeTieneCansado"
alvaro C C,@alflarocc,2020-09-09T03:23:36.000Z,Colombia tendrá que esperar más tiempo por no adquirir  vacuna Rusa.
Act Panamericana,@actualidadpanam,2020-09-09T01:27:42.000Z,"Tuit desde el futuro: “Tras intensa avanzada diplomática de Pacho Santos, la vacuna llega a Colombia en julio, cuando quedan 20 casos activos”"
jhon fredy chavarro,@jhonfredychavar,2020-09-09T01:08:54.000Z,"Astrazeneca suspende ensayos de vacuna contra el COVID-19 (la que traerán a Colombia) por ""reacciones adversas"" 
Esas ""reacciones  adversas "" suenan tanto a Resident Evil "
MEGA ANTIURIBISTA,@carrykan7,2020-09-09T00:45:44.000Z,"Hermanos Colombianos desde Venezuela les informo que acá se respira vida y esperanza la vacuna rusa está pronto por llegar a vanezuela , me duele mi colombia que su mediocre presidente Iván duque no haya hecho nada de gestión y condene a mucha gente a morir ,el espera a trump"
San Francisco,@franciscoponce2,2020-09-09T00:04:27.000Z,"La tercera fase de los ensayos clínicos de la vacuna contra el coronavirus de la Universidad de Oxford y la farmacéutica AstraZeneca ha sido detenida para investigar una ""enfermedad potencialmente inexplicable"" de uno de los participantes
Y en Colombia no quieren la vacuna rusa"
viva el comandante y su legado..,@JosFari51554066,2020-09-09T00:00:32.000Z,"#8Septiembre ya empecé a preocuparme  el presidente  
@NicolasMaduro
  ya anunció que la vacuna RUSA llega este mes y COLOMBIA no compro la vacuna  RUSA para esperar la GRINGA..ya saben lo que va a pasar verdad ? ya los bachaqueros y sus cómplices se frotan las manos .."
El celerípede,@Elceleripede,2020-09-08T22:26:12.000Z,"OJO!!!El presidente Duque no permitirá el uso de la vacuna proveniente de China, en Colombia, porque afecta el cerebro y convierte a las personas que se la aplican al CASTRO CHINISMO."
Deci,@decimononnica,2020-09-08T16:26:25.000Z,"En Colombia y Brasil empiezan a volver entre septiembre y octubre con protocolos. Hay un plan. En Paraguay el plan es no volver este año. En Uruguay ya hay clases presenciales hace meses. ¿Cuál es el plan en Argentina 
@trottanico
? ¿Esperar a la vacuna? Tenemos derecho a saberlo."
DAVID MARTÍNEZ (if you follow me i follow,,2020-09-08T15:08:15.000Z,"Le gustaría que COLOMBIA negociara con RUISA la vacuna Sputnik VSí
72,7 %
No
27,3 %
33 votos
·
Resultados finales"
La Matahari,@LUISAM66046504,2020-09-08T11:22:16.000Z,"El Virus Chino Coronavirus está Mutando menos Agresivo 
Colombia por 8 años Sufrió el Viirus Santos y nos Volvió Trizas
 y está Mutando más Peligroso,Mortal y Repugnante que antes...! Vacuna urgente contra el Covid Traidor que amenaza la Patria"
Frank Laporte,@JoyaYadier,2020-09-08T01:48:25.000Z,"Cosas EXCELSAS q hay en Colombia: Paisas con vacuna ANTI-URIBISMO y Rolos q no votamos x la misma oligarquía y/o hegemonía Rola de ladrones de siempre. 

Ese es otro nivel de pensamiento, es superación del REGIONALISMO ESTÚPIDO, por RACIONALISMO OBJETIVO."
Álvaro Linero Montes,@AlvaroLinero,2020-09-08T00:02:44.000Z,"No es posible que el Gobierno Nacional inicie la apertura de las distintas actividades comerciales y nos volquemos a las calles: el virus aún está presente, no existe vacuna y ha tenido rebrotes. Hagamos el esfuerzo de no salir, aún en Colombia hay más de 250 muertos a diario."
Oscarlix2626@gmail.com.,Oscarlix2626@gmail.com.,2020-09-08T00:00:41.000Z,"Mientras #china, #rusia #EstadosUnidos y otros países invierten miles de millones de dólares para conseguir la VACUNA contra el covid19, en Colombia el mago 
@IvanDuque
 acabó con el virus.
Hoy 5mil contagios.  En sólo 8 días redujo el contagio en un 50%.
@teleSURtv
 
@ActualidadRT"
formacion eticapolit,@eticaypolitica,2020-09-07T19:40:28.000Z,¿ todavía existe el gerente covid19 en Colombia? Y a que  se dedica? Que gestione la vacuna que no nos salga con cuentos que hasta junio del próximo año.  Es igual la de Diciembre y ya en otros países la van a  aplicar.  Muévase.
formacion eticapolit,@eticaypolitica,2020-09-07T17:49:14.000Z,"No jodan, la vacuna del covid19 estaría en el mundo hacia diciembre y  en Colombia ya nos están lavando el cerebro que en Junio 2021 porque es más segura;  pendejada si es la misma de Diciembre,  necesitamos ahí si la presión de los epidemiólogos."
Gonzalo AlvarezHenao,@gonzaloalvarezh,2020-09-07T16:54:33.000Z,"Colombia afectada por las pandemias de la corrupción, la Covid 19 y sin vacuna p inmunizar a la población.

El título de este breve comentario resulta apropiado si se tiene en cuenta q las dos pandemias producen los mismos estragos en la población de menores recursos económicos."
#Sigueme y te sigo de vuelta.,@robertescalant1,2020-09-07T16:32:23.000Z,#FlexibilizacionAmpliaYGeneral yo me imagino q la vacuna rusa será distribuida x la OMS xq si la distribuyeran los del PSUV terminarían en Colombia nuestras vacunas y después saldría el burgués d Nicolás y diría q Fue Duque o EEUU quien se les llevo a Colombia corruptos ineptos
Diana,@Diana_MaCa,2020-09-07T15:22:34.000Z,"Ya se dejó de usar ""cuando acabe la cuarentena"" y ahora es ""cuando la vacuna llegue a Colombia""."
alexander perdomo,@alex78849,2020-09-07T02:08:01.000Z,Ojalá Colombia compré de una vez por todas la vacuna Rusa para terminar de una vez por todas con esta Maldita Pandemia mundial :( :(
alexander perdomo,@alex78849,2020-09-07T02:04:30.000Z,Ojalá que Colombia se avispe y compré de unas vez por todas la vacuna Rusa para terminar de una ves por todas está maldita pandemia mundial Covid 19
Pedro,@djpedro909,2020-09-06T17:15:24.000Z,"La vacuna Rusa produce buena respuesta de anticuerpos, segun revista cientifica the lancet. Pero el gobierno de Colombia parece no querer nada de ese pais, asi es la cosa."
JCal,@Dentist3D,2020-09-06T06:09:33.000Z,"La primera vacuna en Colombia debe ser para:ALTO GOBIERNO
0 %
SENADORES Y GONGRESISTAS
100 %
1 voto
·
Resultados finales"
El Barto,@KenethDiaz,2020-09-06T02:50:48.000Z,"Y entonces los estudios demostraron que la vacuna rusa sí genera anticuerpos pero como no la van a traer a Colombia, nos jodimos"
David Mosquera,@yermerdavid,2020-09-05T22:39:52.000Z,"Ya un estudio científico, afirmó que la vacuna rusa si genera anticuerpos. Ya Brasil piensa utilizarla. ¿Qué acercamientos hay con Rusia de Colombia respecto a la adquisición de la misma?"
LGABRIEL BENAVIDES,@BENAVIDES_LG,2020-09-05T19:49:18.000Z,"Los laboratorios buscando la vacuna, y en Colombia ya existe, se llama los ""BRE"" SeptiemBRE, OctuBRE, NoviemBRE y DiciemBRE, el #COVID__19 desapareció,  compruebelo salga de casa mire Centro Comerciales, Almacén y restaurante y todos con sus tapabarba obligatorio. "
Camilo Andrés Cortés,@zettocor,2020-09-05T18:55:59.000Z,En extrema ridiculez han quedado los expertos de los medios oficialistas Colombianos cuándo advirtieron que no era confiable la vacuna rusa Sputnik. Los expertos de Caracol TV y la doctora que todos los días sale a advertir algo. Y llega primero a Venezuela. Gracias Colombia.
Giorgio4Real,@Giorgio4ReaI,2020-09-05T17:39:01.000Z,"Participarían en la fase 3 de la vacuna de Johnson & Johnson contra el COVID en Colombia?SI
50 %
NO
50 %
14 votos
·
Resultados finales"
Orlando caballero,@Orlando14285774,2020-09-05T15:20:13.000Z,"Rusia hace su vacuna, lo mismo Cuba, USA, Europa, India, China, Japón y otros paises donde la ciencia ha tenido su desarrollo y avances tecnológicos son diarios. Colombia está más avanzada. Aquí los científicos de las convivir-auc uribistas y las guerrillas vacunan al que quieren"
Sebastián Marín,@jsebastianmarr,2020-09-05T04:31:20.000Z,"Leí que la vacuna rusa es 100% efectiva creando defensas contra el covid-19, una revista famosa en medicina lo escribió ayer. Será? El caso es que Venezuela y Cuba le tendrán primero que Colombia y qué gonorrea."
Paul Gerardo,@Paul_One,2020-09-05T03:13:37.000Z,Aquí en Colombia según llega o pondrán en marcha la vacuna para junio del año que viene (Mmmm)
Jhoan Sebastián Álvarez,@Jhoansalvarez,2020-09-05T02:43:25.000Z,"La vacuna rusa es 100% confiable, primero la llevarán a Venezuela y después a Colombia.

Pacho Santos se hizo el pendejo esperando la vacuna de EE.UU"
-AlIeN BoY,@Luiska_20,2020-09-05T01:50:08.000Z,Vacuna llega a colombia plzzz
𝑳𝒖𝒄𝒌𝒚 𝑫𝒖𝒅𝒆,@andresalinas01,2020-09-05T01:49:31.000Z,"yo no se ustedes pero yo si voy a ser de los primeros en colocarme la vacuna que llegue a Colombia, así salga mala y después me muera lo haré"
Yamil Cure Ruiz,@yamilcureruiz,2020-09-04T20:48:43.000Z,"Mañana se cumplen exactos 6 meses del primer caso de COVID en Colombia, el Joven de 19 años que llegó de Milán; su respiración cual mutinivel se*650mil contagios desde entonces. quedan exactos 30 meses fin del ciclo o menos si llega vacuna o IR. 
 
@GUTI4528
 @LuiAlirio"
JOSE FERNANDO PARRA,@ferchoprr,2020-09-04T19:20:30.000Z,"Una pregunta, será q los Rusos pueden venir a Colombia y abrir un consultorio y q quien quiera ponerse la vacuna Rusa contra el COVID q lo haga. ¿O sólo los gringos nos pueden vender sus productos?"
Central de Chicharrones a la orden,@Sveralopez,2020-09-04T17:53:21.000Z,"Al parecer la mayoría de ensayos de la vacuna contra el Covid-19 van por muy buen camino, de varias partes llegan buenas noticias menos de COLOMBIA!"
Sebastián Martínez ✪,@Poco_Ortodoxo,2020-09-04T17:12:06.000Z,"Según lo que he leído, las mejores opciones para la vacuna para covid19 en América Latina serían la rusa y la cubana...

Bien pueden dejar de joder por las hectáreas que se robó doña Lina; total, toda Colombia será un territorio baldío."
Sra. Patria,@SraPatria,2020-09-04T16:30:34.000Z,"Al paso que vamos voy a terminar haciendole caso a los uribistas que me han mandado para Cuba y Venezuela, allá por lo menos van a tener la vacuna Rusa primero que en Colombia la vacuna gringa."
General Lee,@General08608603,2020-09-04T15:02:11.000Z,#EmpatiaEs la próxima vacuna que hay que buscar y vacunar a toda la población de Colombia.
David Erbege Saoud,@QuienEs80,2020-09-04T14:35:06.000Z,Crear una vacuna contra el Covid-19 en Colombia sería comunismo.
marco antonio miran,@HuemPertuz,2020-09-04T14:18:39.000Z,"Por que cuba se elabora vacuna y en polombia no?
 Rta: en cuba se invierte en ciencia más tecnología el erario pero en Colombia se regala dinero a las multinacionales!!!!"
Giorgio4Real,@Giorgio4ReaI,2020-09-04T14:02:45.000Z,"En el resto del mundo la vida siguió, a pesar de los rebrotes. Por qué quieren que en Colombia sea diferente? Esperarán encerrados hasta que les llegue la vacuna?"
Leonardo León,@ingcritica,2020-09-04T12:37:12.000Z,"Cuba está desarrollando una vacuna contra el coronavirus mientras que Colombia ni siquiera lo intentó porque su clase dominante hace mucho tiempo decidió que su papel en el mundo era el de exportar materias primas e importar tecnología.
Y así hablan de Silicon Valley criollo."
Udón Boscán,@UdonBoscanD,2020-09-04T12:00:43.000Z,"Si Cuba y Venezuela no estando tan acorralada por los EEUU, cuántas cosas buenas han podido realizar. Un sólo ejemplo, el Covid-19. Comparen con Colombia,Chile, Perú etc. Con seguridad tendrán la vacuna primero que ellos, humanidad..!!"
