username,location,text
DamianAldeta,🇺🇾MENDA🇺🇾LERENDA🇺🇾,"@TertuliasLiber1 En cualquier momento te manda la patota el Dr. Daniel Salinas, que no le gusta que le digan la VERDAD y CENSURA y te pone como causa ""incitar al odio"".

Es un atrevido.
#pLandemia #YoNoMeVacuno #PCRgate #Nuremberg2 https://t.co/hDeIdDvt0g"
geisse_carlos,Puerto Montt,"En los lugares aislados también debemos seguir avanzando en nuestro plan de vacunación, por eso llegamos a #CaletaCóndor para participar de un operativo con los habitantes del sector. Ya llevamos cera de 190 mil habitantes de la región vacunados. Seguimos avanzando #YoMeVacuno https://t.co/sK4m6UUUzR"
Teresa53211613,,#YoMeVacuno Mañana me toca  Agendar!!  Que momentoooo!!
ValenciaGuille8,xiaobei,"@Victoria5219 Vestí así, pero #YoNoMeVacuno NO soy rata de laboratorio."
Caliente1069fm,"San Pedro, Colombia","Vacunarse contra la COVID-19 es la manera más segura de ayudar a generar protección, salvar millones de vidas y cuidar del bienestar de tu familia, amigos y comunidad. #YoMeVacuno https://t.co/Qd3MUG1bcF"
Gabriella750222,"Mdeo, Costa de oro, URUGUAY!","@TelemundoUY @ximenabarbe @ximenabarbe gracias por la nota, es fundamental la presencia de los comunicadores para seguir dando difusión a la vacunación. No se vacunan 30 personas por día, solo en el turno de 12 a 18 se vacunaron 120 personas, de las 344 agendadas. 
#YOMEVACUNOPORVOS
#YOMEVACUNO
💪🇺🇾🇺🇾🇺🇾🇺🇾"
nicolenia,"Mar del Plata, Argentina","@MComadreja ¿Contra qué? ¿Contra una enfermedad que ataca gravemente sólo a pacientes de riesgo, o a ovejas que hicieron caso a todo y destruyeron su sistema inmune? #YoNoMeVacuno 
Yo respiro aire puro; camino, tomo sol, como sano y visito amigos.😉 https://t.co/xid8WjdfG9"
BETELGEUSE430,,@July_Sam_ @MirandaBogota @anyelatutis @Compensar_info Entonces la vacuna es por ser amigo del gobierno y no por ser ciudadano de Colombia? Asco es no tener la capacidad de criticar a pesar que las cosas no funcionen bien.
EmbEspPan,Plaza Porras - Panamá,"El embajador 🇪🇦 Javier Pagalday se ha reunido esta mañana con la viceministra 🇵🇦 de Salud, Yvette Berrio, @MINSAPma para tratar asuntos de interés común y, en particular, la evolución de la campaña de vacunación contra la #COVIDー19 #YoMeVacuno #YaFaltaMenos https://t.co/pR1tPGwynB"
ONU_es,Nueva York,"¡Buenas noticias de salud!

Colombia es el primer país de las Américas en recibir las vacunas contra la #COVID19 a través del mecanismo COVAX, la iniciativa destinada a garantizar acceso equitativo a la vacuna. 

#SoloJuntos podemos acabar con la pandemia. https://t.co/xcm3pcE4I7 https://t.co/MtBYkDRWxn"
MarzoaRaquel,"Ferrol, España","Mascarilla, jabón y vacuna son la KRIPTONITA para vencer al coronavirus.💪
No lo voy a negar: ODIO LOS SUPER PODERES DEL COVID!!🗣📢
👎 Nuevas muestras del ""poder JETA"" en vacunaciones..🤬
👎 COVID ""super-PROTAGONISTA"" respecto a patologías no-COVID..😤
SENTIDIÑO.🙏
#YoMeVacuno https://t.co/6PiFWXkiV5"
mrafael70,"Santa Marta, Colombia","A 🇨🇴 llegaron las vacunas con meses de retraso y la vacunación masiva parece no arrancar. A este ritmo se inmunizará a toda la población en el 2028, y no sería extraño que políticos cercanos al Gobierno utilizaran la vacuna para hacer campaña en 2022.

https://t.co/8TofDZr7qg"
ioiotinez,,Ya hay más vacunados que el total de casos positivos 💪 #YoMeVacuno https://t.co/MKTJFww7lA
Aliciapesamosca,Montevideo Uruguay,Desde mañana se pueden agendar  personas entre 55 y 59 años para vacunarse #YoMeVacuno https://t.co/JJOSPGOEZx
odpdh,América Latina ,¿Usted tiene claridad sobre el proceso de Vacunación informado por @MinSaludCol en Colombia y sabe cuándo accederá a la aplicación de la vacuna contra #COVID19?
bertosabino,,"Buenas noches queridísim@s 
Amig@s de Twitter 🤗
que tengan un maravilloso 
descanso con sueños bonitos.
Abrazos y besos!❤️
#Quedateencasa🏠🍀
#CuidarteEsCuidarnos🏠
#YoMeVacuno 🇷🇺💉🇦🇷💫💫💫 https://t.co/wjVQF2rXEj"
AlElContadero,"Contadero, Colombia","A través de nuestra E.S.E Municipal Sagrado Corazón de Jesús iniciamos la Vacunación para nuestros Adultos Mayores, esperamos cubrir toda esta población prioritaria toda vez que nos lleguen más vacunas.
@MinSaludCol #YoMeVacuno https://t.co/mO0QVgzcW5"
AS_TikitakasCO,"Bogotá, D.C., Colombia","💉 La plataforma ya está en funcionamiento para que los ciudadanos priorizados consulten fecha, lugar y hora para recibir la vacuna, que desde febrero se aplica 📱

https://t.co/Z5l0UZ9M4x"
Sisto1Si,Ordes (A Coruña),"El despliegue mundial de vacunas provocará nuevas variantes mutadas del COVID-19, según un científico de Oxford
EL NEGOCIO PERFECTO: YO TE ENFERMO Y TÚ, necio, me compras más ""vacunas"" que te vuelven A ENFERMAR 
#yoNoMeVacuno  #FarmafiaNuncaMás     

https://t.co/soxeBIMkgc"
Nefrocl,"Santiago, Chile","En la imagen, de izquierda a derecha, está doctora Patricia Herrera, doctor Rodrigo Mansilla y doctora Ana Mireya Ortiz después de la inoculación contra el Covid-19.

#NefroSeVacuna #YoMeVacuno https://t.co/pOQTpy6aDP"
MinvuRM,"Santiago, Chile","¿Quieres saber cuándo ir a vacunarte? 💉

Revisa la actualización al Calendario de Vacunación que va desde el 8 y 14 de marzo 🗓👆🏻

Encuentra los centros de vacunación disponibles a lo largo de todo Chile, grupos objetivos y mucho más en
👉👉 https://t.co/ljX44HjdwD

#YoMeVacuno https://t.co/RACGmpzYJ7"
MSaludSantiago,Santiago del Estero Argentina,"#SantiagodelEstero inició vacunación contra la COVID-19 a docentes del nivel inicial, primario y especial #YoMeVacuno 
https://t.co/KapMJcaSgn"
juanfer3012020,,Que Cuba ya tenga su propia vacuna contra COVID nos demuestra que ese famoso dicho “castrochavismo” es una expresión de idiotas arrodillados que viven y se enriquecen del subdesarrollo en Colombia @tobonsanin @petrogustavo @IvanDuque @diegomatteus @Margaritarosadf @Matador000
estigamboa,San Sebastián,"Hoy me han puesto la 2a dosis de la vacuna. Ya me siento un poco más segura. Mezcla de emoción y esperanza porque la solución llegue hasta el último rincón de la tierra. 
#yomevacuno #portipormiportodos
#COVID19 https://t.co/Aniall7phz"
